Area,Taluk,Pin Code
Jayanagar,Bangalore South,560041
Jayanagar West,Bangalore South,560070
Jayangar III Block,Bangalore South,560011
Jigani,Anekal,560105
JP Nagar III Phase,Bangalore South,560078
JP Nagar VIII phase,Bangalore South,560076
Kallubalu,Anekal,560105
Kathriguppe,Bangalore South,560085
Konanakunte,Bangalore South,560062
Koramangala I Block,Bangalore South,560034
Koramangala,Bangalore South,560034
Koramangala VI Bk,Bangalore South,560095
Kumaraswamy Layout,Bangalore South,560078
Kumbalagodu,Bangalore South,560074
Kumbalgodu Gollahalli,Bangalore South,560074
Madhavan Park,Bangalore South,560011
Madivala,Bangalore South,560068
Mallathahalli,Bangalore South,560056
Mavalli,Bangalore South,560004
Mico Layout,Bangalore South,560076
Mount St Joseph,Bangalore South,560076
Muthanallur,Bangalore South,560099
Nayandahalli,Bangalore South,560039
Padmanabhnagar,Bangalore South,560070
Pampamahakavi Road,Bangalore South,560004
Ragihalli,Anekal,560083
Ramohalli,Bangalore South,560074
Rv Niketan,Bangalore South,560059
Sampangiramnagar,Bangalore South,560027
Shanthinagar,Bangalore South,560027
St. Johns Medical College,Bangalore South,560034
State Bank Of Mysore Colony,Bangalore South,560050
Subramanyapura,Bangalore South,560061
Tavarekere,Bangalore South,560029
Thalaghattapura,Bangalore South,560109
Thataguni,Bangalore South,560082
Thyagarajnagar,Bangalore South,560004
Tilaknagar Bangalore,Bangalore South,560041
Tyagrajnagar,Bangalore South,560070
Ullalu Upanagar,Bangalore North,560110
Wilson Garden,Bangalore South,560027
Wipro Limited,Bangalore South,560100
Yelachenahalli,Bangalore South,560078
Bagalgunte,Bangalore North,560073
Bangalore City,Bangalore North,560002
Bangalore Dist Offices Bldg,Bangalore North,560009
Bapagrama,Bangalore North,560091
Basaveshwaranagar,Bangalore North,560079
Chandra Lay Out,Bangalore North,560040
Chikkabidarkal,Bangalore North,560073
Gayathrinagar,Bangalore North,560021
Hampinagar,Bangalore North,560104
Herohalli,Bangalore North,560091
Industrial Estate Bangalore,Bangalore North,560010
Jalahalli East,Bangalore North,560014
Jalahalli,Bangalore North,560013
Jalahalli West,Bangalore North,560015
K H B Colony,Bangalore North,560079
K. G. Road,Bangalore North,560009
Kamakshipalya,Bangalore North,560079
Kodigehalli,Bangalore South,560112
Laggere,Bangalore North,560058
Magadi Road,Bangalore North,560023
Mahalakshmipuram Layout,Bangalore North,560086
Malleswaram,Bangalore North,560003
Malleswaram West,Bangalore North,560055
Mathikere,Bangalore North,560054
Msrit,Bangalore North,560054
Nagarbhavi,Bangalore North,560072
Nagasandra Bangalore,Bangalore North,560073
Nandinilayout,Bangalore North,560096
Nelakadiranahalli,Bangalore North,560073
Palace Guttahalli,Bangalore North,560003
Peenya Dasarahalli,Bangalore North,560057
Peenya I Stage,Bangalore North,560058
Peenya Small Industries,Bangalore North,560058
Rajajinagar,Bangalore North,560010
Rajajinagar IVth Block,Bangalore North,560010
Science Institute,Bangalore North,560012
Seshadripuram,Bangalore North,560020
Sri Chowdeshwari,Bangalore North,560054
Srirampuram,Bangalore North,560021
Swimming Pool Extn,Bangalore North,560003
Tarabanahalli,Bangalore North,560090
Vidyaranyapura,Bangalore North,560097
Vijayanagar East,Bangalore North,560040
Vijayanagar Bangalore,Bangalore North,560040
Viswaneedam,Bangalore North,560091
Vyalikaval Extn,Bangalore North,560003
West of Chord Road II stage,Bangalore North,560086
Yeshwanthpur Bazar,Bangalore North,560022
Yeswanthpura,Bangalore North,560022
Anekal,Anekal,562106
Attibele,Anekal,562107
Bagalur Bangalore,Bangalore North,562149
Bandikodigehalli,Bangalore North,562149
Bestamaranahalli,Anekal,562106
Bettahalsur,Bangalore North,562157
Bidaraguppe,Anekal,562107
Byagadadenahalli,Anekal,562106
Chikkajala,Bangalore North,562157
Chikkanahalli,Bangalore South,562130
Chunchanakuppe,Bangalore South,562130
Dasanapura,Bangalore North,562162
Doddajala,Bangalore North,562157
Dommasandra,Anekal,562125
Guddanahalli,Anekal,562106
Handenahalli,Anekal,562125
Hunasamaranahalli,Bangalore North,562157
Indalavadi,Anekal,562106
Kadabagere,Bangalore South,562130
Kannur,Bangalore North,562149
Kugur,Anekal,562125
Madanayakanahalli,Bangalore North,562162
Marsur,Anekal,562106
Mayasandra,Anekal,562107
Neralur,Anekal,562107
Neriga,Anekal,562125
Samandur,Anekal,562106
Sarjapura,Anekal,562125
Sidihoskote,Anekal,562106
Tarahunise,Bangalore North,562157
Tavarekere Bangalore,Bangalore South,562130
Thammanayakanahalli,Anekal,562106
Vanakanahalli,Anekal,562106
Vidyanagara,Bangalore North,562157
Yadavanahalli,Anekal,562107
